City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
300,six-fours-les-plages,43.0938,5.84,7.730000000000018,82,15,4.47,FR,1701481056
301,luanda,-8.8368,13.2343,26.0,83,40,1.54,AO,1701481056
302,likiep,9.8251,169.3107,27.920000000000016,76,100,7.81,MH,1701481056
303,howrah,22.5892,88.3103,20.0,88,40,4.63,IN,1701480469
304,augusto correa,-1.0217,-46.635,24.680000000000007,90,31,1.4,BR,1701481057
305,saint-francois,46.4154,3.9054,2.6899999999999977,94,100,5.14,FR,1701481057
306,kita,13.0349,-9.4895,24.79000000000002,25,97,1.38,ML,1701481057
307,noshiro,40.2039,140.0242,1.4600000000000364,73,100,2.67,JP,1701481057
308,mandera,3.9366,41.867,26.939999999999998,51,70,3.57,KE,1701481058
309,inyonga,-6.7167,32.0667,17.360000000000014,97,95,0.5,TZ,1701481058
310,ampanihy,-24.7,44.75,17.52000000000004,88,10,5.99,MG,1701481058
311,sete lagoas,-19.4658,-44.2467,21.600000000000023,70,99,1.59,BR,1701481058
312,retreat,38.8245,-85.8533,12.210000000000036,91,100,1.79,US,1701481059
313,calama,-22.4667,-68.9333,17.27000000000004,17,0,6.69,CL,1701480847
314,mujiayingzi,42.1167,118.7833,-4.189999999999998,37,0,5.62,CN,1701481059
315,ocean shores,46.9737,-124.1563,10.010000000000048,94,100,6.17,US,1701480798
316,oriximina,-1.7656,-55.8661,24.53000000000003,88,27,1.54,BR,1701481060
317,rasht,37.2808,49.5832,12.010000000000048,84,0,0.64,IR,1701481060
318,tura,25.5198,90.2201,20.590000000000032,66,67,0.91,IN,1701481060
319,alliance,40.9153,-81.1059,8.140000000000043,97,100,3.89,US,1701480943
320,kayenta,36.7278,-110.2546,1.25,68,53,8.02,US,1701481061
321,thinadhoo,0.5333,72.9333,27.400000000000034,79,95,5.38,MV,1701481061
322,itoman,26.1247,127.6694,20.220000000000027,68,75,6.17,JP,1701481061
323,san jose del guaviare,2.5729,-72.6459,23.28000000000003,89,31,0.68,CO,1701481061
324,cam ranh,11.9214,109.1591,26.980000000000018,94,75,8.23,VN,1701481061
325,ceerigaabo,10.6162,47.368,12.350000000000023,51,5,3.71,SO,1701481062
326,sena madureira,-9.0656,-68.6569,24.640000000000043,86,96,0.94,BR,1701481062
327,whitby,54.4877,-0.615,-1.4599999999999795,76,24,1.89,GB,1701481062
328,ambovombe,-25.1667,46.0833,19.930000000000007,76,58,7.51,MG,1701481062
329,severo-yeniseyskiy,60.3725,93.0408,-8.569999999999993,98,100,1.34,RU,1701481062
330,ouadda,8.0777,22.4007,23.100000000000023,55,73,0.6,CF,1701481063
331,namibe,-15.1961,12.1522,21.939999999999998,80,94,2.53,AO,1701481063
332,urumqi,43.801,87.6005,-4.46999999999997,93,100,1.0,CN,1701481063
333,aldan,58.6031,125.3894,-22.049999999999983,93,100,4.94,RU,1701481063
334,valparaiso,-33.0393,-71.6273,14.800000000000011,72,0,3.09,CL,1701481063
335,iacu,-12.7672,-40.2117,22.629999999999995,81,3,2.2,BR,1701481064
336,boende,-0.2167,20.8667,21.189999999999998,99,100,1.3,CD,1701481064
337,shadrinsk,56.0852,63.6335,-10.079999999999984,97,59,1.51,RU,1701481064
338,mohammedia,33.7066,-7.3944,15.850000000000023,100,96,3.09,MA,1701480967
339,nuriootpa,-34.4833,139.0,20.54000000000002,41,90,3.96,AU,1701481064
340,nizhniy lomov,53.5304,43.6766,-2.3100000000000023,94,95,6.46,RU,1701481065
341,balkanabat,39.5108,54.3671,9.939999999999998,83,0,0.2,TM,1701481065
342,bemidji,47.4736,-94.8803,-4.5,73,0,0.0,US,1701481065
343,sovetskaya gavan',48.9723,140.2878,-9.389999999999986,62,55,2.6,RU,1701481065
344,tarawa,1.419,172.984,31.05000000000001,74,75,4.12,KI,1701481066
345,bathsheba,13.2167,-59.5167,26.340000000000032,83,20,6.69,BB,1701481066
346,bako,5.7833,36.5667,19.460000000000036,56,77,1.58,ET,1701481066
347,anjala,60.6833,26.8333,-7.1200000000000045,91,93,2.9,FI,1701481066
348,likasi,-10.9814,26.7333,16.810000000000002,98,100,1.03,CD,1701481066
349,vernon,50.2581,-119.2691,0.4200000000000159,75,98,0.51,CA,1701480989
350,kiffa,16.6166,-11.4045,25.640000000000043,12,69,4.54,MR,1701481067
351,broome,42.2506,-75.833,5.3700000000000045,94,100,3.13,US,1701481067
352,kargasok,59.0556,80.8572,-9.45999999999998,97,100,1.79,RU,1701481067
353,weihai,37.5017,122.1136,4.490000000000009,43,0,6.2,CN,1701481067
354,colares,38.7992,-9.4469,12.920000000000016,83,7,16.09,PT,1701481067
355,vratsa,43.21,23.5625,11.460000000000036,67,11,3.09,BG,1701481067
356,kearney,40.6995,-99.0815,-3.0499999999999545,76,20,1.54,US,1701480842
357,bazarnyye mataki,54.8833,49.9333,-5.5499999999999545,96,100,4.02,RU,1701481068
358,acarau,-2.8856,-40.12,26.30000000000001,82,58,4.3,BR,1701481068
359,quellon,-43.1167,-73.6167,5.390000000000043,87,6,3.27,CL,1701481068
360,edmundston,47.3737,-68.3251,1.6299999999999955,87,40,1.54,CA,1701481068
361,sinop,41.7711,34.8709,10.480000000000018,76,7,5.46,TR,1701481068
362,rabo de peixe,37.8,-25.5833,16.730000000000018,99,20,5.66,PT,1701481068
363,antonio enes,-16.2325,39.9086,24.360000000000014,85,10,3.68,MZ,1701481069
364,kavieng,-2.5744,150.7967,28.129999999999995,73,98,0.95,PG,1701481069
365,kamaishi,39.2667,141.8833,5.910000000000025,53,42,1.97,JP,1701480795
366,agnita,45.9667,24.6167,7.840000000000032,82,96,2.11,RO,1701481069
367,victorica,-36.2151,-65.4359,22.090000000000032,25,27,4.82,AR,1701481069
368,warmbad,-28.45,18.7333,20.950000000000045,30,57,2.78,,1701481069
369,forster,-32.1667,152.5167,24.05000000000001,83,86,4.26,AU,1701481070
370,wynyard,-41.0,145.7167,16.930000000000007,72,100,2.76,AU,1701481070
371,lionel town,17.8101,-77.2406,28.939999999999998,79,50,4.13,JM,1701481070
372,puerto baquerizo moreno,-0.9,-89.6,24.260000000000048,81,100,6.27,EC,1701481070
373,mangrol,21.1167,70.1167,21.470000000000027,59,0,6.79,IN,1701481070
374,roosevelt,33.9668,-103.4505,7.930000000000007,44,6,4.96,US,1701481070
375,cabo san lucas,22.8909,-109.9124,24.310000000000002,61,20,5.14,MX,1701480919
376,shahpur,16.7,76.8333,21.340000000000032,67,12,2.82,IN,1701481071
377,tynda,55.1667,124.7167,-21.47999999999999,92,87,0.5,RU,1701481071
